"family","genus","species","lme","fao","level","FB_E_Code","source","type.length","taxo","b","a"
"Gobiesocidae","Diplecogaster","bimaculata bimaculata",22,27,"species",139,"fb","TL","fam-Ocean",3.08842856543405,0.0121779109550906
"Triglidae","Chelidonichthys","lucerna",22,27,"species",139,"fb","TL","spe-LME",3.09379997253418,0.0073140000924468
"Macrouridae","Coryphaenoides","rupestris",22,27,"species",139,"fb","TL","gen-Ocean",2.48669993877411,0.0196850001811981
"Lotidae","Gaidropsarus","mediterraneus",22,27,"species",139,"fb","TL","spe-Ocean",3.10149999459585,0.00536833327108373
"Salmonidae","Salmo","salar",22,27,"species",139,"fb","TL","spe-Ocean",2.99163007736206,0.010717443190515
"Soleidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.06502220365736,0.00713377777073118
"Stichaeidae","Leptoclinus","maculatus",22,27,"species",139,"fb","TL","fam-Ocean",2.73141430105482,0.039298572377967
"Caproidae","Capros","aper",22,27,"species",139,"fb","TL","spe-FAO",2.81924992799759,0.0299174997489899
"Rajidae","Leucoraja","circularis",22,27,"species",139,"fb","TL","spe-Ocean",3.07999992370605,0.00389999989420176
"Belonidae","Belone","belone",22,27,"species",139,"fb","TL","spe-FAO",3.09733327229818,0.00098333335093533
"Moronidae","Dicentrarchus","labrax",22,27,"species",139,"fb","TL","spe-LME",2.99939999580383,0.0109799998812377
"Sparidae","Pagellus","erythrinus",22,27,"species",139,"fb","TL","spe-LME",2.94000005722046,0.0160000007599592
"Soleidae","Buglossidium","",22,27,"genus",139,"fb","TL","gen-FAO",3.37000000476837,0.00498999992851168
"Ammodytidae","Gymnammodytes","semisquamatus",22,27,"species",139,"fb","TL","gen-Ocean",3.30699992179871,0.00120000005699694
"Petromyzontidae","Lampetra","fluviatilis",22,27,"species",139,"fb","TL","spe-FAO",3.07050001621246,0.00151299999561161
"Sparidae","Spondyliosoma","cantharus",22,27,"species",139,"fb","TL","spe-LME",3.17166670163473,0.00956333335489035
"Scorpaenidae","Scorpaena","scrofa",22,27,"species",139,"fb","TL","spe-LME",2.89000010490417,0.0260000005364418
"Soleidae","Microchirus","",22,27,"genus",139,"fb","TL","gen-LME",3.11999988555908,0.00600000005215406
"Scophthalmidae","Zeugopterus","",22,27,"genus",139,"fb","TL","gen-LME",3.14599990844727,0.0138999996706843
"Mugilidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.09999998410543,0.0105133332932989
"Gobiesocidae","Lepadogaster","",22,27,"genus",139,"fb","TL","gen-Ocean",3,0.0230653770267963
"Syngnathidae","Nerophis","",22,27,"genus",139,"fb","TL","gen-LME",2.85800004005432,0.000306999994791113
"Caproidae",NA,"",22,27,"family",139,"fb","TL","fam-FAO",2.81924992799759,0.0299174997489899
"Mugilidae","Chelon","labrosus",22,27,"species",139,"fb","TL","spe-FAO",3.07299995422363,0.00902333358923594
"Pentanchidae","Galeus","melastomus",22,27,"species",139,"fb","TL","spe-FAO",3.09900002479553,0.00199199996422976
"Labridae","Labrus","bergylta",22,27,"species",139,"fb","TL","spe-LME",3,0.0144999995827675
"Lophiidae","Lophius","budegassa",22,27,"species",139,"fb","TL","spe-FAO",2.91574996709824,0.0365024999482557
"Argentinidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.05299997329712,0.00529999984428287
"Moronidae","Dicentrarchus","",22,27,"genus",139,"fb","TL","gen-LME",2.99939999580383,0.0109799998812377
"Mugilidae","Chelon","auratus",22,27,"species",139,"fb","TL","spe-LME",2.73000001907349,0.0219999998807907
"Bothidae","Arnoglossus","imperialis",22,27,"species",139,"fb","TL","spe-FAO",3.16799998283386,0.00523749989224598
"Macrouridae","Trachyrincus","murrayi",22,27,"species",139,"fb","TL","gen-FAO",3.23200011253357,0.00129000004380941
"Ammodytidae","Hyperoplus","immaculatus",22,27,"species",139,"fb","TL","spe-Ocean",2.83550000190735,0.00617884076200426
"Blenniidae","Blennius","",22,27,"genus",139,"fb","TL","gen-FAO",2.93650007247925,0.0153999999165535
"Soleidae","Pegusa","lascaris",22,27,"species",139,"fb","TL","spe-FAO",3.16500008106232,0.00690000015310943
"Gobiidae","Lesueurigobius","",22,27,"genus",139,"fb","TL","gen-FAO",3.51500010490417,0.00257000001147389
"Gasterosteidae","Spinachia","spinachia",22,27,"species",139,"fb","TL","spe-LME",3,0.00209999992512167
"Rajidae","Leucoraja","lentiginosa",22,27,"species",139,"fb","TL","gen-FAO",3.31100002924601,0.00191666667039196
"Bothidae","Arnoglossus","",22,27,"genus",139,"fb","TL","gen-FAO",3.16654545610601,0.00725545450537042
"Ammodytidae","Hyperoplus","",22,27,"genus",139,"fb","TL","gen-Ocean",2.78923336664836,0.00631922716274858
"Gobiidae","Lesueurigobius","friesii",22,27,"species",139,"fb","TL","spe-FAO",3.51500010490417,0.00257000001147389
"Gadidae","Merlangius","merlangus",24,27,"species",235,"fb","TL","spe-LME",3.05194997787476,0.00828999985242262
"Clupeidae","Sprattus","sprattus",24,27,"species",235,"fb","TL","spe-FAO",3.11000001430511,0.00523500004783273
"Pleuronectidae","Platichthys","flesus",24,27,"species",235,"fb","TL","spe-LME",2.97766661643982,0.0113793330577513
"Clupeidae","Clupea","harengus",24,27,"species",235,"fb","TL","spe-LME",3.18642851284572,0.00491242855787277
"Gadidae","Gadus","morhua",24,27,"species",235,"fb","TL","spe-LME",3.05299997329712,0.00834999978542328
"Pleuronectidae","Pleuronectes","platessa",24,27,"species",235,"fb","TL","spe-LME",3.12099993228912,0.00778000010177493
"Gadidae","Pollachius","virens",24,27,"species",235,"fb","TL","spe-Ocean",3.04306878149509,0.00844562509155367
"Cottidae","Taurulus","bubalis",24,27,"species",235,"fb","TL","spe-LME",3,0.0153999999165535
"Moronidae","Dicentrarchus","labrax",24,27,"species",235,"fb","TL","spe-LME",2.97100001573563,0.0117749999044463
"Pleuronectidae","Microstomus","kitt",24,27,"species",235,"fb","TL","spe-FAO",3.04499995708466,0.0087500000372529
"Agonidae","Agonus","cataphractus",24,27,"species",235,"fb","TL","spe-Ocean",2.7404500246048,0.0150000001303852
"Rajidae","Raja","clavata",24,27,"species",235,"fb","TL","spe-LME",3.21499999364217,0.00281000005391737
"Pleuronectidae","Limanda","limanda",24,27,"species",235,"fb","TL","spe-LME",3.14166665077209,0.0071366666816175
"Cottidae","Artediellus","atlanticus",22,27,"species",139,"fb","TL","fam-LME",3.19450002908707,0.00992500002030283
"Labridae","Symphodus","melops",22,27,"species",139,"fb","TL","spe-LME",3,0.0136000001803041
"Labridae","Ctenolabrus","rupestris",22,27,"species",139,"fb","TL","spe-LME",3,0.0122999995946884
"Salmonidae","Salmo","",22,27,"genus",139,"fb","TL","gen-LME",3.06599998474121,0.00829499983228743
"Cottidae","Micrenophrys","lilljeborgii",22,27,"species",139,"fb","TL","fam-LME",3.19450002908707,0.00992500002030283
"Zoarcidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3.25,0.0019000000320375
"Somniosidae","Somniosus","microcephalus",22,27,"species",139,"fb","TL","spe-LME",3.21333336830139,0.0196666664754351
"Agonidae","Leptagonus","decagonus",22,27,"species",139,"fb","TL","spe-Ocean",3,0.00348715228028595
"Scombridae","Thunnus","thynnus",22,27,"species",139,"fb","TL","spe-FAO",2.89400005340576,0.0263999998569489
"Petromyzontidae","Petromyzon","",22,27,"genus",139,"fb","TL","gen-Ocean",3,0.00208000000566244
"Atherinidae","Atherina","presbyter",22,27,"species",139,"fb","TL","spe-LME",3,0.00689999992027879
"Triglidae","Chelidonichthys","lastoviza",22,27,"species",139,"fb","TL","spe-LME",3.00100004673004,0.0088599999435246
"Sparidae","Sparus","aurata",22,27,"species",139,"fb","TL","spe-LME",2.98153328895569,0.0501333341623346
"Mullidae","Mullus","barbatus barbatus",22,27,"species",139,"fb","TL","spe-FAO",3.01774996519089,0.00870750010653865
"Mugilidae","Mugil","cephalus",22,27,"species",139,"fb","TL","spe-FAO",3.11900003751119,0.0112033335802456
"Pleuronectidae","Platichthys","flesus",23,27,"species",104,"fb","TL","spe-LME",2.89300000667572,0.0188945000991225
"Clupeidae","Clupea","harengus",23,27,"species",104,"fb","TL","spe-LME",3.04449999332428,0.0054500000551343
"Pleuronectidae","Microstomus","kitt",23,27,"species",104,"fb","TL","spe-FAO",3.04499995708466,0.0087500000372529
"Gadidae","Gadus","morhua",23,27,"species",104,"fb","TL","spe-LME",3.089333375295,0.00691999991734823
"Scophthalmidae","Scophthalmus","maximus",23,27,"species",104,"fb","TL","spe-FAO",3.02788893381755,0.016391111123893
"Pleuronectidae","Pleuronectes","platessa",23,27,"species",104,"fb","TL","spe-FAO",3.12099993228912,0.00778000010177493
"Gadidae","Merlangius","merlangus",23,27,"species",104,"fb","TL","spe-FAO",3.06236000061035,0.0077439998742193
"Rajidae","Amblyraja","radiata",23,27,"species",104,"fb","TL","spe-FAO",2.19000005722046,0.157000005245209
"Gadidae","Melanogrammus","aeglefinus",23,27,"species",104,"fb","TL","spe-Ocean",3.1416086839593,0.00596956520989213
"Clupeidae","Sprattus","sprattus",23,27,"species",104,"fb","TL","spe-LME",3.11000001430511,0.00523500004783273
"Petromyzontidae","Petromyzon","marinus",23,27,"species",104,"fb","TL","spe-Ocean",3,0.00208000000566244
"Pleuronectidae","Hippoglossoides","platessoides",23,27,"species",104,"fb","TL","spe-FAO",3.2039999961853,0.00439999997615814
"Pleuronectidae","Limanda","limanda",23,27,"species",104,"fb","TL","spe-FAO",3.10099997520447,0.00776200005784631
"Cyclopteridae","Cyclopterus","lumpus",23,27,"species",104,"fb","TL","spe-FAO",2.71299997965495,0.330566665778557
"Scombridae","Scomber","scombrus",23,27,"species",104,"fb","TL","spe-FAO",3.14799996784755,0.00553000004895564
"Engraulidae","Engraulis","encrasicolus",23,27,"species",104,"fb","TL","spe-FAO",3.19062858309065,0.00410428573710046
"Carangidae","Trachurus","trachurus",23,27,"species",104,"fb","TL","spe-FAO",2.98509090596979,0.0101099999367513
"Anguillidae","Anguilla","anguilla",23,27,"species",104,"fb","TL","spe-LME",3.02733333905538,0.00193333330874642
"Clupeidae","Sardina","pilchardus",23,27,"species",104,"fb","TL","spe-FAO",3.1022125184536,0.00711875013075769
"Callionymidae","Callionymus","",23,27,"genus",104,"fb","TL","gen-FAO",2.57807144096919,0.0336242858320475
"Triglidae","Eutrigla","",22,27,"genus",139,"fb","TL","gen-LME",3.15950000286102,0.00505000003613532
"Trachinidae","Echiichthys","",22,27,"genus",139,"fb","TL","gen-FAO",3.04999995231628,0.010499999858439
"Triglidae","Trigla","",22,27,"genus",139,"fb","TL","gen-FAO",3.06400001049042,0.0110200000926852
"Triglidae","Chelidonichthys","",22,27,"genus",139,"fb","TL","gen-LME",3.09918180379001,0.00700363643806089
"Rajidae","Dipturus","oxyrinchus",22,27,"species",139,"fb","TL","spe-FAO",3.53900003433228,0.00047999998787418
"Zeidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",2.9539999961853,0.019033333286643
"Zoarcidae","Lycodes","gracilis",22,27,"species",139,"fb","TL","gen-FAO",4.09569978713989,9.99999974737875e-05
"Paralepididae","Arctozenus","risso",22,27,"species",139,"fb","TL","fam-Ocean",2.94599997997284,0.00265999999828637
"Gobiesocidae",NA,"",22,27,"family",139,"fb","TL","fam-Ocean",3.08842856543405,0.0121779109550906
"Gasterosteidae","Gasterosteus","aculeatus williamsoni",22,27,"species",139,"fb","TL","gen-LME",3.04900002479553,0.010499999858439
"Blenniidae",NA,"",22,27,"family",139,"fb","TL","fam-LME",3,0.0104000000283122
"Lotidae","Gaidropsarus","macrophthalmus",22,27,"species",139,"fb","TL","spe-FAO",2.95000004768372,0.00633999984711409
"Arhynchobatidae","Bathyraja","brachyurops",22,27,"species",139,"fb","TL","spe-Ocean",3.30299997329712,0.0020000000949949
"Scophthalmidae","Lepidorhombus","boscii",22,27,"species",139,"fb","TL","spe-LME",3.04999995231628,0.00300000002607703
"Mugilidae","Chelon","",22,27,"genus",139,"fb","TL","gen-LME",2.73000001907349,0.0219999998807907
"Bramidae","Brama","brama",22,27,"species",139,"fb","TL","spe-FAO",3.18499994277954,0.00510999979451299
"Gobiidae","Pomatoschistus","lozanoi",22,27,"species",139,"fb","TL","gen-FAO",3.15666675567627,0.00755333326136072
"Merlucciidae","Merluccius","merluccius",23,27,"species",104,"fb","TL","spe-FAO",3.06889998912811,0.00578580009751022
"Labridae","Ctenolabrus","rupestris",23,27,"species",104,"fb","TL","spe-FAO",3,0.0122999995946884
"Ammodytidae","Hyperoplus","lanceolatus",23,27,"species",104,"fb","TL","spe-Ocean",2.69670009613037,0.00659999996423721
"Soleidae","Solea","solea",23,27,"species",104,"fb","TL","spe-LME",3.0952000617981,0.00712400022894144
"Triglidae","Eutrigla","gurnardus",23,27,"species",104,"fb","TL","spe-FAO",3.22724997997284,0.00480000005336478
"Scophthalmidae","Scophthalmus","rhombus",23,27,"species",104,"fb","TL","spe-FAO",3.01591670513153,0.0153250001603737
"Bothidae","Arnoglossus","laterna",23,27,"species",104,"fb","TL","spe-FAO",3.22574996948242,0.00526499998522922
"Lotidae","Enchelyopus","cimbrius",23,27,"species",104,"fb","TL","spe-FAO",3.10599994659424,0.00350000010803342
"Gobiidae","Gobius","",23,27,"genus",104,"fb","TL","gen-FAO",3.08200001716614,0.0110571428335139
"Syngnathidae","Syngnathus","",23,27,"genus",104,"fb","TL","gen-LME",2.94099998474121,0.000344600004609674
"Syngnathidae","Entelurus","aequoreus",23,27,"species",104,"fb","TL","spe-FAO",3,0.00022000000171829
